,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4437.5832,76.411,2.7592,3.2427,3.5471,3.7035,3.7215,75.834,2.5607,-0.0387,14.9441,LIS_003,Itajai-Açu e Ilha Bela
4437.7356,77.1519,2.8042,3.2881,3.595,3.7521,3.7686,72.2579,2.5715,-0.0379,14.7868,LIS_003,Itajai-Açu e Ilha Bela
4437.888,78.9536,2.8077,3.2948,3.6038,3.7602,3.7754,70.012,2.5712,-0.0353,14.9504,LIS_003,Itajai-Açu e Ilha Bela
4438.0404,80.9769,2.7724,3.2648,3.5755,3.7301,3.7443,69.4331,2.5606,-0.0356,15.4252,LIS_003,Itajai-Açu e Ilha Bela
4438.1928,81.2668,2.7306,3.2319,3.5462,3.6997,3.7136,69.7155,2.552,-0.0374,16.3128,LIS_003,Itajai-Açu e Ilha Bela
4438.3452,80.3408,2.7151,3.2317,3.5542,3.7091,3.7237,70.0,2.5519,-0.0357,16.8076,LIS_003,Itajai-Açu e Ilha Bela
4438.4976,80.0883,2.7144,3.2486,3.5811,3.7399,3.7561,70.1873,2.5541,-0.0298,16.3031,LIS_003,Itajai-Açu e Ilha Bela
4438.65,81.0496,2.6785,3.2205,3.5586,3.7205,3.739,70.5945,2.5511,-0.0248,15.7847,LIS_003,Itajai-Açu e Ilha Bela
4438.8024,82.5286,2.5793,3.1121,3.4472,3.6099,3.631,71.2812,2.5425,-0.0242,16.1266,LIS_003,Itajai-Açu e Ilha Bela
4438.9548,84.0019,2.4595,2.9749,3.3039,3.467,3.4909,72.0025,2.53,-0.0258,16.8742,LIS_003,Itajai-Açu e Ilha Bela
4439.1072,84.8428,2.3819,2.8884,3.217,3.3843,3.4116,72.5071,2.5173,-0.0287,17.32,LIS_003,Itajai-Açu e Ilha Bela
4439.2596,85.2609,2.3628,2.8751,3.2116,3.3884,3.42,72.7851,2.5084,-0.0347,17.3908,LIS_003,Itajai-Açu e Ilha Bela
4439.412,85.3644,2.3734,2.8996,3.2498,3.4387,3.4751,72.9347,2.5031,-0.0401,17.1987,LIS_003,Itajai-Açu e Ilha Bela
4439.5644,85.1203,2.3791,2.9168,3.2794,3.4816,3.5229,72.9449,2.4991,-0.0393,16.7503,LIS_003,Itajai-Açu e Ilha Bela
